Material	EAN	DescricaoCompleta	SubGrupo	quantidade	custoMedio
400006730	43917996929	MAQ CORTAR CAB EASY CUT PRETA 127V WHL.	WAHL	190	46.83
400001032	7896004701462	LORAZEPAM G.EMS 2MG 20(B1)	EMS GEN	190	3.16
400008912	7896902205260	ALCOOL GEL 70 50G FAX.	FARMAX	190	1.74
400015826	7891317158439	TRAMADOL+PAR 37,5+325MG 20CP G (A2) EUR	EUROFARMA GEN	190	10.99
400016324	7898216367320	BISOPROLOL 5MG 30CP REV G. PLB	PHARLAB GEN	190	11.48
400016926	7898100244317	DEFULL 7000 UI 30CP REV BRA	BRASTERAPICA SIM	190	6.05
400017166	7898593053571	CALCIUM MAXX D3 500MG+2000UI 60CAP MAX	MAXINUTRI	190	17.14
400006213	7896004720609	BISURAN 0,8MG/ML XPE INF 120ML BRO. EMS.	EMS SIM	189	5.13
400005306	7897917003599	NASOFAR INF SOL NASAL30ML CLOR SOD BEL.	BELFAR SIMILAR	189	2.45
400005444	7898277712916	BENETONICO FR 500ML SULF FERR+ASSOC ART.	ARTE NATIVA	189	5.68
400009229	7899934702424	MAQ CORTAR CAB SEN CORD IONS LIT WHL.	WAHL	189	495.05
400017359	74468597327	VINAGRE DE MACA VERM 1000MG 60CAP FTL	FORTLIFE	189	18.41
400002653	7894916149150	ALPRAZOLAM G.LEG 0,5MG 30CP(B1)	LEGRAND GEN	188	2.06
400000909	7896004706221	DORSPAN COMP GTS 20ML ESCOPOL+DIPIR MUL	MULTILAB SIM	188	5.41
400000816	7896004752525	CETOPROFENO G.EMS 150MG 10CP LIB PROL	EMS GEN	188	5.59
400000374	7896181919469	AMOXICILINA+CLAV G.BIO 875/125MG 20CP(*)	BIOSINTETICA/LABOFARMA GEN	188	34.72
400008797	7896714292472	ONDANSETRONA G.NEO ORODISP 4MG 10CP	NEO Q. GEN	188	6.09
400000341	7898146823385	RISPERIDONA G.BLB 1MG 30CP(C1)	BIOLAB GEN	188	21.29
400004321	7898216364930	LABCAINA 20MG GEL 30G LIDOCAINA PLB.	PHARLAB SIM	188	6.05
400015769	7899934703223	MAQUINA CORTAR CAB/FIO PRO RECAR WAHL	WAHL	188	362.84
400017205	7897076923608	ONDANSETRONA 4 MG 30CP ORODISP G. RAN	RANBAXY GEN	188	12.94
400001828	7896004702223	AMOXICILINA G.GER 500MG 21CA(*)	GERMED GEN	187	7.13
400004771	7896112113584	CLOBETASOL G.TEU 0,5MG/G CR 30 G	TEUTO GEN	187	3.03
400010375	7899095203334	CLORID.PAROXETINA G. GEO 20MG 30 CA (C1)	GEOLAB GEN	187	6.26
400015854	7908458324460	CR PENTEAR KIDS CACHINHOS BRILH 1KG SLN	SALON LINE	187	19.58
400006672	73796246280	TERMOMETRO CLI DIG MC-246BRV OMR.	OMRON	186	14.48
400001434	7891317435943	CILOSTAZOL G.EUR 100MG 30CP	EUROFARMA GEN	186	12.13
400000360	7896112402619	ZINCO 20MG 30CP BLB.	BIOLAB SIM	186	15.33
400007208	7898623950047	GELATINA SUPER VOL TO DE CACHO 550G SLN.	SALON LINE	186	14.6
400017272	7898049796755	DEXAMEX 1MG/G 10G CR DEXAMETASONA VIT	VITAMEDIC SIM	186	2.47
400018295	7896714295701	PROPIOSOL 0,5MG/G 30G CR CLOBETASOL NEO	NEO Q. SMART	186	5.91
400001306	7891317003050	DOXAZOSINA G.EUR 4MG 30CP	EUROFARMA GEN	185	12.43
400000814	7896004700984	CETOCONAZOL G.EMS SHAMP 100ML	EMS GEN	185	16.94
400001859	7896004731353	CARVEDILOL G.GER 3,125MG 30CP	GERMED GEN	185	3.6
400001143	7896004743745	ROSUVASTATINA G.EMS 5MG 30CP	EMS GEN	185	5.1
400010299	7898639301413	PROT SOL FPS60 KIDS MINIONS 120ML NTX.	NUTRIEX	185	18.47
400015838	7894164011483	METIOCURE 10MG/ML 45ML SPR CLOREXIDI AIR	AIRELA	185	5.47
400016370	7897076923745	AMOXICILINA+CLAV 500+125MG 12CP G.(*)RAN	RANBAXY GEN	185	20.27
400018538	7894916996938	MUCOS EXPEC 40MG/ML 120ML XPE ACETIL LEG	LEGRAND OTC	185	7.73
400008396	7894164008360	BARIATRON AZ 1.000MG 60CP OMEGA 3 AIR.	AIRELA	184	27.2
400003984	7895296087032	ATORVASTATINA G.NQM 10MG 30CP	NOVA Q. GEN	184	5.46
400000885	7896004706733	DILTIAZEM 30MG 50CP G. EMS	EMS GEN	184	12.26
400006264	7896004810041	BENECTRIN400/80MG20CP SULFA+TRIM MUL (*)	MULTILAB SIM	184	3.59
400006313	7896023719912	MELAGRIAO SPR TUTTI FRUTTI 30ML CAT.	CATARINENSE	184	7.37
400000350	7898146821633	SUMATRIPTANA G.BLB 50MG 2CP	BIOLAB GEN	184	12.41
400001100	7896004703596	PARACETAMOL G.EMS 750MG 20CP	EMS GEN	183	5.03
400003065	7896422514873	AZITROMICINA G.MDY 500MG 05CP(*)	MEDLEY GEN	183	5.57
400004593	7897595627360	LOSARTANA G.SAN 50MG 30CP	SANDOZ GEN	183	3.63
400002935	7898593050631	CLORESIL CLOR MAG PA 500MG 60 CAPS.MAX.	MAXINUTRI	183	11.3
400018128	7891317034061	PREDNISOLONA 3MG/ML 120ML SOL OR G. EUR	EUROFARMA GEN	183	11.61
400006123	7894164005727	MAGMILK SUS100ML SABOR TRAD MAG AIR.	AIRELA	182	3.41
400000871	7896004721903	DEXAMETASONA G.EMS CR 10 G	EMS GEN	182	2.61
400000862	7896004751641	DESOGESTREL G.EMS 75 MCG 28CP	EMS GEN	182	4.61
400003912	7896714226699	SILDENAFILA G.NEO 50MG 2CP	NEO Q. GEN	182	0.86
400002923	7898593050464	BIOTINA+VIT B B5 AC FOLICO 60 CAPS.MAX.	MAXINUTRI	182	13.56
400001756	7899095202580	SALBUTAMOL G.GEO 120ML	GEOLAB GEN	182	5.44
400002158	7899620910201	FLAMAPE 20MG 20CP PREDNISONA GLO.	GLOBO SIM	182	4.64
400017474	7896472521937	BISOPROLOL 2,5MG 30CP REV G. NQM	NOVA Q. GEN	182	12.67
400018245	7891035650123	LUFTAGASTRO 150ML RECKITT	RECKITT	182	35.51
400000943	7896004716138	ESPIRONOLACTONA G.EMS 100MG 30CP	EMS GEN	181	26.46
400001896	7896004769677	DESLORATADINA G.GER XPE 100ML	GERMED GEN	181	9.79
400003778	7896714203515	FLUXON 25MG 30CP CINARIZINA NEO.	NEO Q. SMART	181	7.42
400004473	7897076912299	NORTRIPTILINA G.RAN 50MG 30CA(C1)	RANBAXY GEN	181	22.88
400005415	7898216360239	NEBACTRINA 5MG POM 10G NEOM+BACT PLB.(*)	PHARLAB SIM	181	2.33
400010313	7898633382494	OLEO BRONZEA FPS6 SOLAR GOLD 120ML NTX.	NUTRIEX	181	8.91
400010288	7898639304933	PROT SOL BEBE LOVE FPS 70 UVA 120ML NTX.	NUTRIEX	181	23.09
400010634	7898049798827	CLORDILON 50MG 30 CP CLORTALIDONA VIT	VITAMEDIC SIM	181	5.38
400017603	7894164000142	LEFLORA 4G PO SOL 6SACHE AIR	AIRELA	181	6.41
400018148	7891317034047	PREDNISOLONA 11MG/ML 20ML  G. EUR	EUROFARMA GEN	181	10.76
400000362	7896112401872	ZOLPIDEM G.BLB 10MG 30CP(B1)	BIOLAB GEN	180	4.33
400007562	7896902208278	PO DESC CABELOS CAMOMILA 20G FAX.	FARMAX	180	2.56
400005096	7898049790586	VERTIZAN 10MG 50CP FLUNARIZINA VIT.	VITAMEDIC SIM	180	3.89
400004277	7898216361328	CLONAZEPAM 2MG 60CP PLB.(B1)	PHARLAB GEN	180	4.19
400000100	7898569765149	VITAMINA D 10.000UI 30CA ALT.	ALTHAIA SIM	180	20.63
400001670	7899095237254	ESCITALOPRAM G.GEO 20MG/ML 15ML(C1)	GEOLAB GEN	180	8.11
400010275	7898633382623	KIT CARROS SH 250 ML+COND 230 ML NTX.	NUTRIEX	180	8.8
400015736	7897848501263	CREME ADES PROT DENTAL MEGAFIX 20G NVT	NATIVITA GEN	180	5.47
400016562	7898719041437	CANELA DE VELHO C/ SEBO DE CARN 150G AVO	AVVIO	180	5.34
400018138	7898700413779	IVECTE 6MG 8CP IVERMECTINA VIT	VITAMEDIC SIM	180	2.62
400018552	7896714294520	GLICLAZIDA 30MG 30CP REV LIB PROL G. NEO	NEO Q. GEN	180	4.69
400018676	7908458334018	CREME PENTEAR MULTY DEF NAT 300ML SLN	SALON LINE	180	7.77
400002751	7894916148306	ESCITALOPRAM G.LEG 15MG 30CP(C1)	LEGRAND GEN	178	8.91
400003854	7896714230030	NEOCOFLAN GEL 60G DIETILAMONIO NEO.	NEO Q. SMART	178	5.08
400001733	7899095202146	NISTATINA G.GEO CR VAG 60G 14 APL	GEOLAB GEN	178	7.91
400005783	7899934700307	MAQ CORTAR CAB MAGIC CLIP 127V WHL.	WAHL	178	214.31
400009305	7899620915329	NITRATO DE MICONAZOL CR 20 MG GLO.	GLOBO SIM	178	5.21
400010458	7896004787176	ONCILEG 30G   CETOCONAZOL+BETAME LEG	LEGRAND SIM	178	6.86
400001332	7891317473679	LAMOTRIGINA 50MG 30CP G. (C1) EUR	EUROFARMA GEN	177	6.4
400004180	7895296288019	SIMETICONA G.NQM GTS 15ML	NOVA Q. GEN	177	2.5
400003070	7896422522687	BISOPROLOL G.MDY 10MG 30CP	MEDLEY GEN	177	4.94
400004568	7897595602527	DOXAZOSINA G.SAN 4MG 30CP	SANDOZ GEN	177	13.95
400000073	7898569763077	OLMESARTANA G.ALT 40MG 30CP	ALTHAIA GEN	177	17.39
400000083	7898569763602	PREGABALINA G.ALT 150MG 30CA(C1)	ALTHAIA GEN	177	16.6
400015878	7898014561890	SOYNATI 150MG 30CAP GEL DURA GLYCIN PHA	PHARMASCIENCE	177	11.74
400016422	7896112171867	LACOSAMIDA 50MG 14CP REV G. (C1) TEU	TEUTO GEN	177	20.59
400017207	7897076923622	ONDANSETRONA 8 MG 30CP ORODISP G. RAN	RANBAXY GEN	177	26.01
400004340	7898216362189	PIROXICAM G.PLB 20MG 10 CA	PHARLAB GEN	176	2.93
400000072	7898569763015	OLMESARTANA G.ALT 20MG 30CP	ALTHAIA GEN	176	12.36
400001781	7899095243125	TENOXICAM G.GEO 20MG 10CP	GEOLAB GEN	176	4.02
400015829	7894164010448	CULTILIFE LACTOBACILLUS   10CAP DURA AIR	AIRELA	176	8.21
400016706	7898277715139	PEPTINON  10ML 60FLAC ART	ARTE NATIVA	176	25.12
400006739	7894164007950	ZINQUA BIO KIDS 100 ML SOL ZINCO AIR.	AIRELA	175	7.38
400001075	7896004702032	NISTATINA G.EMS SUS 50ML	EMS GEN	175	7.5
400003245	7896422506304	SERTRALINA G.MDY 50MG 30CP(C1)	MEDLEY GEN	175	4.12
400003217	7896422515894	PAROXETINA G.MDY 20MG 30CP(C1)	MEDLEY GEN	175	3.52
400002982	7898593050525	MEMORIN FOS+VIT 60 CAPS MAX.	MAXINUTRI	175	18.64
400002965	7898593050877	FINISIM CROMO FIBRAS 60 CAPS MAX.	MAXINUTRI	175	22.31
400009947	7899934702820	BASE CARREGADORA MAQ PROF SEM FIO WHL.	WAHL	175	127.91
400016509	7896004792316	NARATRIPTANA 2,5MG 10CP REV G. EMS	EMS GEN	175	14.57
400007018	7894164008056	MAGMILK SUS 350 ML TRADICIONAL AIR.	AIRELA	174	8.95
400002713	7896004810225	DERMOBENE CR 20G CLOTRIMAZOL LEG.	LEGRAND SIM	174	4.4
400005400	7898133137310	HIDRAPLEX PO NATURAL 4ENV 27,9G NAT.	NATULAB	174	6.26
400017072	70341281833	ORA PRONOBIS 500MG 60CAP FTL	FORTLIFE	174	13.86
400017745	7898719042069	CONDICIONADOR BABY MUNDO BITA 200ML AVO	AVVIO	174	7.57
400017797	7898927564957	DUTASTERIDA+TANSUL 0,5+0,4MG 30CAP G.ZYD	ZYDUS GEN	174	37.19
400018360	7898719042274	COL LAVANDINHA MUNDO BITA 200ML AVO	AVVIO	174	8.53
400001531	7896902212497	REPELENTE LOC BABY MOSKITOFF 100ML FAX.	FARMAX	173	8.82
400008154	7898277714453	SABONETE SULFUROSO 90G ENXOFRE 10% ART.	ARTE NATIVA	173	3.53
400010441	7896714292212	LEVANLODIPINO 2,5MG 30CP G. NEO	NEO Q. GEN	173	13.33
400010844	7898700411751	ENERGRIP TRIPLA AÇÃO 30 CP  VIT	VITAMEDIC SIM	173	9.85
400011100	7898216361267	CLARITROMICINA G. PLB 500MG 7 CP (*)	PHARLAB GEN	173	16.89
400016474	7908458325511	CREME PENTEAR KIDS CACH 1KG MARACUJA SLN	SALON LINE	173	19.54
400016834	7899095204171	MIEBRA 5MG 15CP REV CICLOBENZAPRINA GEO	GEOLAB SIM	173	2.88
400001291	7891317448936	DESOGESTREL+ETINIL G.EUR 20MG 21CP	EUROFARMA GEN	172	8.59
400004117	7895296259019	MOTIRIDONA 10MG 30CP MUL	MULTILAB SIM	172	2.46
400004002	7895296261036	CARDBET 3,125MG 30CP CARVEDILOL MUL	MULTILAB SIM	172	2.66
400004098	7895296284011	IPRAVENT 0,25MG FR 20ML IPRATROPIO NQM.	MULTILAB INVERNO	172	2.26
400000897	7896004723570	DOMPERIDONA G.EMS 10MG 60CP	EMS GEN	172	6.35
400003072	7896422522670	BISOPROLOL G.MDY 5MG 30CP	MEDLEY GEN	172	4.55
400005102	7899599901729	PENTE TIRA FACIL INOX VID.	VOGHA	172	8.18
400010941	7896714292533	FLAVONID 200G CR NEO	NEO Q. SMART	172	22.43
400015584	7898719040638	REP INS DEET 7% SPRAY 100ML AVO.	AVVIO	172	5
400018751	7898652375682	SERINGA C/AGULHA 25X70MM 10ML SLIP MDX	MEDIX BRASIL	172	30.72
400018932	7898215159483	BARRA PROT EMANA CACAU 12X40G PIRAN	PIRACANJUBA	172	45.02
400003514	7896004778204	LOSARTANA POTASSICA 50MG 30CP REV G. NQM	NOVA Q. GEN	171	1.32
400003124	7896422504256	DICLOF DIETILAMONIO G.MDY GEL 60 G	MEDLEY GEN	171	1.62
400000267	7897917000123	PIOSAN LOC 60ML PERMETRINA BEL.	BELFAR SIMILAR	171	4.84
400007000	7898216366552	MELOXICAM G. PLB 7,5 MG 10 CP	PHARLAB GEN	171	2.14
400007804	7898687731552	ONDANSETRONA G. ALT 4MG 10 CP	ALTHAIA GEN	171	4.08
400015923	7898700412338	MUCOVIT 1G+600+10MG 16CP EFE VIT	VITAMEDIC SIM	171	8.16
400017463	7896714292991	LEVOFLOXACINO 750MG 7CP REV G. (*) NEO	NEO Q. GEN	171	18.07
400006118	7894164005611	SILUSGEL 100ML HIDROXIDO ALUM+ASSOC AIR.	AIRELA	170	5.29
400002842	7894916142311	PARACETAMOL G.LEG GTS 15ML	LEGRAND GEN	170	3.05
400004807	7896112159490	ESCITALOPRAM G.TEU 10MG 30CP(C1)	TEUTO GEN	170	3.74
400003033	7896422505741	ACICLOVIR G.MDY 50MG/G CR 10 G	MEDLEY GEN	170	2.17
400005388	7898133134630	ALUMIMAX SUS OR FR 150ML HIDRO ALU NAT.	NATULAB	170	5.71
400006638	7898593052918	ACALENTUS PLUS 60CA MAX.	MAXINUTRI	170	16.95
400001646	7899095230286	DEXAMET+NEOM+POLIM B G.GEO SUS OFT5ML(*)	GEOLAB GEN	170	5.38
400005856	4015630066834	ACCU-CHEK GUIDE TEST STRIP 25CT ROC.	ROCHE	169	30.86
400017736	7898719042090	LOCAO HIDRATANTE BABY MUNDO 200ML AVO	AVVIO	169	8.01
400006005	4015630058693	ACCU-CHEK SAFE-T-PRO NON-EU 200LANC ROC.	ROCHE	168	54.1
400006143	7894164007127	VITAXON C IMUNO TRIPLA ACAO 30CP AIR.	AIRELA	168	9.96
400002534	7896181922544	RISEDRONATO G.BIO 35MG 04CP	BIOSINTETICA/LABOFARMA GEN	168	31.22
400003682	7896714202921	AMBROXOL G.NEO 3MG/ML XPE INF 120ML	NEO Q. GEN	168	7.22
400005233	7896902205956	PROT SOL FPS30 TOQ SEC SUNLESS 200G FAX.	FARMAX	168	21.43
400004438	7897076910905	CINARIZINA G.RAN 25MG 30CP	RANBAXY GEN	168	6.67
400004626	7897595621030	SECNIHEXAL 1000MG 2CP SECNIDAZOL SAN.	SANDOZ SIM	168	2.37
400002113	7898060131146	BROMEXINA G.GLO XPE INF 120ML	GLOBO GEN	168	5.27
400016563	7898719041062	CANELA DE VELHO C/ SEBO DE CARN 220G AVO	AVVIO	168	4.56
400016748	7898301053282	UMIDIFICADOR ULTRASS ALLERGY FREE 3L GTE	GTECH	168	84.19
400017056	7898582290451	VASELINA LIQUIDA 100ML BELLA	BELLAPHYTUS	168	5.12
400017415	7898758870562	POWER MILL IMMUNE 60CAP PVT	PREVENT PHARMA	168	5.53
400018685	7908458333424	CREME TRAT CACHO D SONHOS  PINK 1KG SLN	SALON LINE	168	17.53
400001348	7891317140854	MONTELUCASTE SODIO G.EUR 10MG 30CP	EUROFARMA GEN	167	10.39
400002727	7894916141499	DEXAMETASONA G.LEG 4MG 10CP	LEGRAND GEN	167	3.16
400003223	7896422501330	PREGABALINA G.MDY 150MG 30CA(C1)	MEDLEY GEN	167	10.56
400007138	7898623956780	CR PENTEAR KIDS 1KG SLN.	SALON LINE	167	19.56
400017818	7898574611387	DESOGESTREL+ETINIL 150+20MCG 21CP G. BIO	BIOSINTETICA/LABOFARMA GEN	167	5.44
400016006	7896714294285	BISOPROLOL      5MG   30CP REV G. NEO	NEO Q. GEN	167	16.94
400006188	7896004705590	CETOCON.+DIP.BETA+NEOM G.EMS POM 30 G(*)	EMS GEN	166	6.8
400005068	7898049799558	HEPATOVIT ABACAXI 60 FLC 10ML VIT.	VITAMEDIC SIM	166	23.58
400007075	7898633380100	TOALHAS UMED BEBE LOVE 100 UNI NTX.	NUTRIEX	166	4.61
400001695	7899095235632	HIDROXIZINA G.GEO SOL 120ML	GEOLAB GEN	166	6.19
400015931	7891058005658	PREDNISONA      5MG   20CP G. MDY	MEDLEY GEN	166	1.1
400017421	7897076923752	AMOX+CLAVU 500+125MG 18CP REV G. (*) RAN	RANBAXY GEN	166	34.58
400018135	7896004790633	DERMACYD FEMINA200ML LEG	LEGRAND OTC	166	11.66
400000531	7893736003963	MICOTIAZOL FR 50ML ACIDOS+IO MET CAZ.	CAZI	165	7.86
400004930	7896112198338	SEGURDENT CR ADESIVO 48G TEU.	TEUTO SIM	165	16.69
400005401	7898133137334	HIDRAPLEX PO GUARANA 4ENV 27,9G NAT.	NATULAB	165	7.22
400008946	7898593053298	CISTEFLUX(CRANBERRY)C+ZIN 500MG 30CA MAX	MAXINUTRI	165	22.45
400011211	7895296450027	BUPROVIL 50MG 30 ML IBUPROFENO MUL	MULTILAB INVERNO	165	1.84
400016042	7896714294261	BISOPROLOL     10MG   30CP REV G. NEO	NEO Q. GEN	165	19.35
400016110	7897406120226	DONEPEZILA 10MG   30CP REV G. (C1) BCM	BIOCHIMICO GEN	165	15.28
400016968	7897076923639	DORZOL+TIMOLOL 20MG/ML 5ML SOL G.RAN	RANBAXY GEN	165	45.38
400000919	7896004747774	DULOXETINA G.EMS 60MG 30CP(C1)	EMS GEN	164	45.14
400007734	7896004774534	NITAZOXANIDA G. GER 20MG/ML PO SUS 100ML	GERMED GEN	164	13.7
400003740	7896714232980	DIAZEPAM G.NEO 10MG 30CP(B1)	NEO Q. GEN	164	3.61
400000179	7898277712893	SABONETE LIQ AROEIRA 200ML ART.	ARTE NATIVA	164	4.75
400007073	7898947017150	OLEO CICATRIZ. CURAT.DERMAEX 100ML NTX.	NUTRIEX	164	2.04
400015863	7908458324477	GELATINA MOD  KIDS UVA  550G SLN	SALON LINE	164	15.82
400000453	7896181928676	SIMETICONA 125MG 10CP BIO.	BIOSINTETICA/LABOFARMA GEN	163	2.23
400004320	7898216361373	IZONAX 200MG 10CP CETOCONAZOL PLB.	PHARLAB SIM	163	4.14
400007257	7898939082593	LIGHT COLOR PROF 7.0 LOURO NATURAL SLN.	SALON LINE	163	10.43
400001702	7899095244085	IBUVIX 600MG 20CP IBUPROFENO GEO.	GEOLAB SIM	163	7.16
400011234	7896714295398	PREDNISOLONA G. NEO 20MG 20 CP	NEO Q. GEN	163	11.94
400016695	7898639694447	MASCARA DESCARTAVEL GTECH 50UN 3 CAM ACU	GTECH	163	6.62
400016946	7897595635655	SITAGLIPTINA 100MG 30CP REV G. SAN	SANDOZ GEN	163	48.58
400006176	7896004703688	POLICLAVUMOXIL 250MG SUS 75ML MUL (*)	MULTILAB SIM	162	18.71
400001040	7896004712963	MESALAZINA G.EMS 800MG 30CP	EMS GEN	162	54.75
400006307	7896023708626	MELAGRIAO SPR EXTRA FORTE 30ML CAT.	CATARINENSE	162	9.64
400004633	7897595601766	SINVASTACOR 10MG 30CP SINVASTATINA SAN.	SANDOZ SIM	162	3.55
400003599	7897848500099	OLEO MINERAL 100ML NVT.	NATIVITA SIM	162	3.69
400002459	7896181909538	BROMAZEPAM G.BIO 3MG 30CP(B1)	BIOSINTETICA/LABOFARMA GEN	161	2.55
400016049	7896714292281	TROME.CETOROLACO     10MG   30CP G. NEO	NEO Q. GEN	161	26.36
400018178	42882512271	FORTMAGRI BLACK 1800MG 60CAP FTL	FORTLIFE	161	39.3
400001321	7891317001872	HIDROXIZINA G.EUR SOL 120ML	EUROFARMA GEN	160	7.66
400006855	7891317017668	RIVAROXABANA G. EUR 15 MG 30 CP	EUROFARMA GEN	160	12.19
400003175	7896422507738	LOSARTANA G.MDY 50MG 30CP	MEDLEY GEN	160	1.33
400007574	7898216360307	DICAZID MR 30MG 60CP GLICLAZIDA PLB.	PHARLAB SIM	160	12.98
400001649	7899095233317	DEXCLORFENIRAMINA+BETA G.GEO XPE 120ML	GEOLAB GEN	160	5.24
400003652	7899470805221	UNHAGOLD SPRAY 30ML NAT.	NATULAB	160	12.09
400015558	7898719041116	AGUA BORICADA 3% 100ML AVO.	AVVIO	160	1.49
400015900	7898687735918	IROSE 20MG/ML 100ML NITAZOXANIDA ALT	ALTHAIA SIM	160	12.43
400017645	7897076923912	FENOFIBRATO 160MG 30CP REV G. RAN	RANBAXY GEN	160	36.41
400017913	7898179711291	ALUMIMEC 60MG/ML 150ML H ALUMINIO IMC	IMEC	160	4.45
400018684	7908458333219	CREME TRAT CACHO SONHOS PINK LEM 1KG SLN	SALON LINE	160	17.53
400004164	7895296383011	QUETIAPINA G.NQM 25MG 30CP(C1)	NOVA Q. GEN	159	3.39
400001826	7896004709116	AMOXICILINA G.GER 400MG SUS 100ML(*)	GERMED GEN	159	12.81
400008956	7891317026110	VITAMINA D3 50.000UI 8CAP GEL COLE EUR	EUROFARMA SIM	159	17.83
400009539	7898146823040	CARVEDILOL G. BLB. 6,25MG 30CP	BIOLAB GEN	159	2.1
400015875	7898014562965	VALERIANA OFFICI L.  50MG   20CP REV PHA	PHARMASCIENCE	159	4.79
400018678	7908458332724	CREME PENTEAR DEF XO POROSIDADE 1KG SLN	SALON LINE	159	19.51
400001089	7896004705989	PANTOPRAZOL G.EMS 20MG 28CP	EMS GEN	158	4.25
400002851	7896004755410	PRAZY 20MG 28CP PANTOPRAZOL LEG.	LEGRAND SIM	158	4.66
400005432	7898216363827	AGIL C PLUS 40 PAST GOMA C+D+ZINCO PLB.	PHARLAB SIM	158	11.05
400001791	7899095241381	UNIAIR 10MG 30CP MONTELUCASTE GEO.	GEOLAB SIM	158	10.87
400015532	7898700412376	IBUPROFENO G. VIT 600MG 10 CA	VITAMEDIC GEN	158	6.37
400017462	7896714293004	LEVOFLOXACINO 750MG 5CP REV G. (*) NEO	NEO Q. GEN	158	15.24
400017845	7899095263307	PREGABALINA 75MG 30CAP DURA G. (C1) GEO	GEOLAB GEN	158	6.73
400018681	7908458333127	CREME PENTEAR KIDS BOB ESPONJA 1KG SLN	SALON LINE	158	19.32
400001420	7891317009915	TRIMEBUTINA G.EUR 200MG 30CA GEL	EUROFARMA GEN	157	21.31
400000615	7891800628432	ESPARADRAPO SALVELOX 5CMX4,5M CRM.	CREMER	157	3.28
400006124	7894164005802	SULFERMAX 125MG/ML GTS 30ML AIR.	AIRELA	157	1.95
400001998	7896004712970	MESALASINA G.GER 800MG 30CP	GERMED GEN	157	52.46
400008251	7896014671632	NOXX 60MG/0,6ML 2 SERIN ENOXAPARINA BLA.	BLAU SIMILAR	157	60.17
400004862	7896112122616	LOZAN 200MG 30CP CETOCONAZOL TEU.	TEUTO SIM	157	7.91
400001454	7896902209138	ACETONA SOL 500ML FAX.	FARMAX	157	8.1
400015534	7898049790913	CL DE METFORMINA G. VIT 850MG 30 CP	VITAMEDIC GEN	157	4.82
400017471	7896472522156	TROM CETOROLACO 10MG 20CP SUBL G. NQM	NOVA Q. GEN	157	9.56
400017598	7894164010158	CALMAZIL 50MG 20CP REV VAL OFFICI L.AIR	AIRELA	157	3.96
400001322	7891317007607	IBANDRONATO DE SODICO G.EUR 150MG 1CP	EUROFARMA GEN	156	10.38
400005200	7896714266916	QUADRILON CR 20G VAL.BETA+ASSOC NEO.(*)	NEO Q. SMART	156	11
400004436	7897076922243	CELECOXIBE G.RAN 200MG 10CA(C1)	RANBAXY GEN	156	5.3
400010714	7896112407478	DEGEN 50000UI 4 CA COLECALCIFEROL BLB	BIOLAB SIM	156	7.12
400015574	7898719040591	DERMAHIGI SAB LIQ INT FRESH 200ML AVO.	AVVIO	156	3.73
400018679	7908458332731	CREME PENTEAR KIDS VANILLA VIBES 1KG SLN	SALON LINE	156	19.51
400007029	7898569762803	TELMISARTANA G. ALT 40 MG 30 CP	ALTHAIA GEN	155	27.24
400005117	7898940658336	DONEPEZILA G.ZYD 10MG 30CP(C1)	ZYDUS GEN	155	15.85
400011006	4015630088072	ACCU-CHEK ACTIVE KIT MG/DL ROC.	ROCHE	155	55.2
400018249	7896016804939	LUFTAL 125MG 10CAP GEL RECKITT	RECKITT	155	6.04
400001335	7891317414139	LEVOFLOXACINO G.EUR 500MG 07CP(*)	EUROFARMA GEN	154	5.38
400000725	7896004703404	AMOXICILINA+CLAV G.EMS 500MG 12CP(*)	EMS GEN	154	23.64
400001193	7896004742199	TIBOLONA G.EMS 2,5MG 30CP	EMS GEN	154	19.72
400004640	7897595621177	SOTALOL G.SAN 160MG 30CP	SANDOZ GEN	154	21.32
400004401	7898079002956	PRESERV TRADICIONAL L8P6 SC PRU.	PRUDENCE	154	4.89
400018687	7908458333431	OLEO TRATAMENTO PINK FATAL 50ML SLN	SALON LINE	154	10.23
400001936	7896004747576	ESCITALOPRAM G.GER 15MG 30CP(C1)	GERMED GEN	153	10.05
400003073	7896422505963	BROMAZEPAM G.MDY 3MG 30CP(B1)	MEDLEY GEN	153	1.68
400003797	7898095343873	IBUPROFENO G.BRAINFARMA 50MG/ML GTS 30ML	NEO Q. GEN	153	5.35
400000109	7898569766610	VITAMINA D 7.000UI 8CA ALT.	ALTHAIA SIM	153	7.36
400001679	7899095200531	FLUCANIL 150MG 02CA FLUCONAZOL GEO.	GEOLAB SIM	153	1.41
400001788	7899095220058	TYLALGIN 750MG 20CP PARACETAMOL GEO.	GEOLAB SIM	153	3.33
400001614	7899095232693	CARBOCISTEINA 50MG/ML 100ML XPE AD G. GE	GEOLAB GEN	153	7.81
400005893	7908028021065	BEPANDEX DERMA SOL 50ML AVO.	AVVIO	153	6.42
400009010	7896112175841	BACOFLEN 10MG 60CP BACLOFENO TEU	TEUTO SIM	153	5.3
400006145	7894164007196	VITAXON C IMUNO COMPLEX 30CP AIR.	AIRELA	152	8.75
400001027	7896004722474	LIDOCAINA G.EMS POM LARANJA 25 G	EMS GEN	152	6.61
400000861	7896004769622	DESLORATADINA G.EMS XPE 60ML	EMS GEN	152	8.6
